                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3226,                 4.1845,                 1.4158,                0.00507,                0.89259,                0.42581,                0.32946,                 1.1175,                 3.1859,                 1.1748,             0.00032381,             0.00032381,             0.00032381
                      2,                 1.2067,                 2.8512,                 1.3119,                0.84341,                0.57749,                0.73328,                0.51946,                 1.0982,                  2.177,                 1.1456,             0.00059209,             0.00059209,             0.00059209
                      3,                 1.2075,                 2.5372,                 1.3018,                0.96311,                0.60313,                0.72183,                0.52467,                  1.047,                 1.5293,                 1.1486,             0.00079436,             0.00079436,             0.00079436
                      4,                 1.1601,                 2.3048,                 1.2687,                0.77915,                0.77054,                0.80532,                0.53331,                 1.1888,                 1.2845,                 1.2649,               0.000703,               0.000703,               0.000703
                      5,                 1.1511,                 2.1662,                 1.2692,                0.73122,                0.77429,                 0.7904,                0.58204,                0.99481,                 1.1103,                   1.12,               0.000604,               0.000604,               0.000604
                      6,                 1.0669,                 1.9156,                 1.2064,                 0.8618,                0.83141,                 0.8526,                0.60284,                 1.0329,                0.88754,                 1.1055,               0.000505,               0.000505,               0.000505
                      7,                 1.0591,                   1.77,                 1.2064,                0.86541,                0.84935,                 0.8734,                0.62019,                 1.0049,                0.83322,                 1.0809,               0.000406,               0.000406,               0.000406
                      8,                0.99002,                 1.6134,                 1.1503,                0.85784,                0.92891,                0.94183,                 0.6302,                0.97077,                 0.7534,                 1.0953,               0.000307,               0.000307,               0.000307
                      9,                0.93253,                 1.4975,                  1.113,                0.95468,                0.82894,                 0.8966,                0.65854,                0.99817,                0.68472,                 1.0886,               0.000208,               0.000208,               0.000208
                     10,                0.89793,                 1.4242,                  1.091,                0.94541,                0.90289,                0.93535,                0.66848,                0.93977,                0.63847,                 1.0704,               0.000109,               0.000109,               0.000109
